"","genes","TS","SD"
"909","SLC2A3",0.416016712783986,1.3594383973959
"910","PLK1",0.412891773903217,1.55179189039207
"911","CPLX2",0.411428700176104,1.21290740621107
"912","BGLAP",0.406901823519493,0.954354657947146
"913","PRMT5",0.405973601537575,0.947785222978878
"914","TNFRSF21",0.400115886004916,0.924099011629016
"915","IL18",0.399703782508502,1.19595766514773
"916","IL11",0.393940074238805,1.30678210295646
"917","HMGB1",0.386368723715014,0.973227650529043
"918","CD36",0.383379822248346,1.14966363961284
"919","IRS1",0.378688771393155,1.87487393343117
"920","TNFAIP3",0.378485023229345,1.16885417785277
"921","LMO2",0.377890833104736,2.21397519388396
"922","IL4R",0.375003108586437,1.39977324416615
"923","CDC45",0.373477893520125,0.995626597419585
"924","EOMES",0.371241635421777,1.71444413023394
"925","NKD1",0.368430933602092,1.23488035725072
"926","STAT6",0.367889434868198,1.26348125542777
"927","ACLY",0.365047983939489,1.16794281399084
"928","PRKCG",0.358389456346238,1.87158396712733
"929","EFNB2",0.356830790197871,1.44747001470221
"930","NRP2",0.356145492382407,1.56529011955852
"931","HSD11B2",0.354639360325294,1.222995936004
"932","IFIH1",0.35238123466165,1.08741974977308
"933","NRP1",0.352376635015428,1.89459965354074
"934","MTA2",0.351134978795632,1.45241604214087
"935","NNMT",0.351091473668822,1.09217825282702
"936","DDAH1",0.350184196086078,1.25981285229189
"937","CDC25A",0.349839764312818,1.24519287818562
"938","KLF6",0.343053460056523,1.26813471382495
"939","KRAS",0.340542525951501,1.1588411426336
"940","S100B",0.340409092639239,1.37154363334351
"941","SLC15A2",0.340137500956287,1.20961566863655
"942","AHR",0.334415345533251,1.12235666519875
"943","TLR9",0.329896234269844,0.954018204630754
"944","AQP1",0.327977310648551,1.82942832737987
"945","GPD1",0.326938613639661,0.704561944044865
"946","ANXA1",0.326349225967356,1.56345371025
"947","HDAC1",0.324112024785556,1.26076352337953
"948","ITGB2",0.323885586147657,1.12824672082082
"949","DDIT4",0.316094641957086,0.98674181028129
"950","ITGB4",0.314049306171793,1.25215130009363
"951","PARP1",0.312477882780483,1.07724048174277
"952","CD4",0.309812584578796,1.13347571854748
"953","PLAGL1",0.304835508031454,1.13180543639643
"954","MEF2C",0.295667148970089,1.47044450654458
"955","ETV4",0.295308412967705,1.61143983947558
"956","ASNS",0.291583372701932,1.15873225130323
"957","BMP4",0.291197838870911,1.2489876920094
"958","UGT2B7",0.289592380186197,1.24010199583203
